QuestionUserId;QuestionUserReputation;QuestionUserDN;Tags;QuestionId;QuestionScore;title;QuestionBody;AcceptedAnswer;AnswerUserId;AnswerUserReputation;AnswerUserDN;AnswerScore;AnswerId;AnswerBody
3625340;33;user3625340;<image-processing><machine-learning><svm><feature-detection><feature-extraction>;27729199;1;How to find Relevent Features for Comparing Diagrams(Images)?;"<p>Currently we are doing a project on diagram comparison using SVM. Diagrams mainly include flow charts and block diagram.we are stuck on determining relevant features for training the SVM. The problem is that diagram and its components to be compared can be of various scales.  Please help for the same.</p>
";27733517;1056563;45835;StephenBoesch;0;27733517;"<p>In regard solely to the difference in scales:  this seems relatively straightforward. Set up classifier(s) based on the characteristics of the images in terms of the shapes/ pixel densities/ arrangements of artifacts. Those aspects are scale-independent.  You may also wish to introduce rotation and shear invariant capabilities into the svm.</p>
"
3625340;33;user3625340;<image-processing><machine-learning><svm><feature-detection><feature-extraction>;99999999;5;How to find Relevent Features for Comparing Diagrams(Images)?;"<p>Currently we are doing a project on diagram comparison using SVM. Diagrams mainly include flow charts and block diagram.we are stuck on determining relevant features for training the SVM. The problem is that diagram and its components to be compared can be of various scales.  Please help for the same.</p>
";27733517;1056563;45835;StephenBoesch;0;27733517;"<p>In regard solely to the difference in scales:  this seems relatively straightforward. Set up classifier(s) based on the characteristics of the images in terms of the shapes/ pixel densities/ arrangements of artifacts. Those aspects are scale-independent.  You may also wish to introduce rotation and shear invariant capabilities into the svm.</p>
"
4409773;788;Avis;<java><machine-learning><svm><encog>;27729238;1;SVM using Encog in Java for beginners;"<p>I am beginner in SVM. Could someone please help me to understand the concepts of SVM using Encog from the very basics?? It will be helpful with sample Java code.</p>
";27808712;173355;3162;JeffHeaton;1;27808712;"<p>In Encog SVM is just a classification or regression model and can be used mostly interchangably with other model types.  I modified the Hello World XOR example to use it, you can see the results below.</p>

<p>This is a decent intro to them:  <a href=""http://webdoc.nyumc.org/nyumc/files/chibi/user-content/Final.pdf"" rel=""nofollow"">http://webdoc.nyumc.org/nyumc/files/chibi/user-content/Final.pdf</a>
This is a more basic intro to modeling in general, I wrote it for neural networks, but it applies to SVM as well:  <a href=""http://www.heatonresearch.com/content/non-mathematical-introduction-using-neural-networks"" rel=""nofollow"">http://www.heatonresearch.com/content/non-mathematical-introduction-using-neural-networks</a></p>

<pre><code>package org.encog.examples.neural.xor;

import org.encog.Encog;
import org.encog.ml.data.MLData;
import org.encog.ml.data.MLDataPair;
import org.encog.ml.data.MLDataSet;
import org.encog.ml.data.basic.BasicMLDataSet;
import org.encog.ml.svm.SVM;
import org.encog.ml.svm.training.SVMTrain;

public class XORHelloWorld {

    /**
     * The input necessary for XOR.
     */
    public static double XOR_INPUT[][] = { { 0.0, 0.0 }, { 1.0, 0.0 },
            { 0.0, 1.0 }, { 1.0, 1.0 } };

    /**
     * The ideal data necessary for XOR.
     */
    public static double XOR_IDEAL[][] = { { 0.0 }, { 1.0 }, { 1.0 }, { 0.0 } };

    /**
     * The main method.
     * @param args No arguments are used.
     */
    public static void main(final String args[]) {

        // create a SVM for classification, change false to true for regression     
        SVM svm = new SVM(2,false);

        // create training data
        MLDataSet trainingSet = new BasicMLDataSet(XOR_INPUT, XOR_IDEAL);

        // train the SVM
        final SVMTrain train = new SVMTrain(svm, trainingSet);
        train.iteration();
        train.finishTraining();

        // test the SVM
        System.out.println(""SVM Results:"");
        for(MLDataPair pair: trainingSet ) {
            final MLData output = svm.compute(pair.getInput());
            System.out.println(pair.getInput().getData(0) + "","" + pair.getInput().getData(1)
                    + "", actual="" + output.getData(0) + "",ideal="" + pair.getIdeal().getData(0));
        }

        Encog.getInstance().shutdown();
    }
}
</code></pre>
"
4408281;715;datavinci;<python-2.7><machine-learning>;27730775;1;Why does not the following code snippet run successfully?;"<p>I was reading Programming Collective Intelligence,chapter on Search Engines where I came across the following piece of code and upon implementation,it gave me error.Please Help.</p>

<pre><code>import urllib2
from BeautifulSoup import *
from urlparse import urljoin

class crawler:
def __init__(self,dbname):
    pass

def __del__(self):
    pass
def dbcommit(self):
    pass

def getentryid(self,table,field,value,createnew=True):
    return None

def addtoindex(self,url,soup):
    print 'Indexing %s' % url

def gettextonly(self,soup):
    return None

def seperatewords(self,text):
    return None

def isindexed(self,url):
    return False

def addlinkref(self,urlFrom,urlTo,linkText):
    pass

def crawl(self,pages,depth=2):
    for i in range(depth):
        newpages=set()
        for page in pages:
            try:
                c=urllib2.urlopen(page)
            except:
                print 'Could not open %s'%page
                continue
            soup=BeautifulSoup(c.read())
            self.addtoindex(page,soup)

            links=soup('a')
            for link in links:
                if('href' in dict(link.attrs)):
                    url=urljoin(page,link['href'])
                    if url.find(""'"")!=-1: continue
                    url=url.split('#')[0]
                    if url[0:4]=='http' and not self.isindexed(url):
                        newpages.add(url)
                    linkText=self.gettextonly(link)
                    self.addlinkref(page,url,linkTest)
                self.dbcommit()
            pages=newpages


def createindextables(self):
    pass
</code></pre>

<p>I got the following error:</p>

<pre><code>&gt;&gt;cwlr.crawl(pagelist)
Indexing http://en.wikipedia.org/wiki/Artificial_neural_network
---------------------------------------------------------------------------
NameError                                 Traceback (most recent call last)
&lt;ipython-input-50-97778b0c0db8&gt; in &lt;module&gt;()
----&gt; 1 cwlr.crawl(pagelist)

C:\Users\Blue\Anaconda\searchengine.py in crawl(self, pages, depth)
     47                                                 url=urljoin(page,link['href'])
     48                                                 if url.find(""'"")!=-1: continue
---&gt; 49                                                 url=url.split('#')[0]
     50                                                 if url[0:4]=='http' and not      self.isindexed(url):
 51                                                         newpages.add(url)

NameError: global name 'linkTest' is not defined
</code></pre>
";27730829;367273;436215;NPE;1;27730829;"<blockquote>
  <p>NameError: global name 'linkTest' is not defined</p>
</blockquote>

<p>You've misspelt <code>linkText</code> as <code>linkTest</code>:</p>

<pre><code>linkText=self.gettextonly(link)
      â†‘
self.addlinkref(page,url,linkTest)
                               â†‘
</code></pre>
"
3512217;119;Shlomi;<machine-learning><svm>;27730870;-1;division of two proper kernels;"<p>Let <img src=""https://i.stack.imgur.com/Z1G34.gif"" alt=""""> be proper kernels. Does it imply that </p>

<p><img src=""https://i.stack.imgur.com/2UgyP.gif"" alt=""enter image description here""></p>

<p>is a proper kernel? prove or give a counter example. It seems wrong but I didn't find how to prove it. Any suggestion? thanks!</p>
";;1060350;70512;Has QUIT--Anony-Mousse;0;27742921;"<p>K2(x,z) can be 0.</p>

<p>Then this value is not well-defined.</p>

<p>Therefore, this is not a proper kernel.</p>
"
4405757;14440;user7;<machine-learning><classification><weka><libsvm><arff>;27732503;0;One class SVM to detect outliers;"<p>My problem is</p>

<blockquote>
  <p>I want to build a <strong>one class SVM classifier</strong> to identify the nouns/aspects from test file.
  The training file has list of nouns. The test has list of words. </p>
</blockquote>

<p>This is what I've done:</p>

<p>I'm using Weka GUI and I've trained a one class SVM(libSVM) to get a model. </p>

<blockquote>
  <p>Now the model classifies those words in test file that the classifier identified as nouns in the generated model. Others are classified as outliers. ( So it is just working like a look up. If it is identified as noun in trained model, then 'yes' else 'no')</p>
</blockquote>

<p>So how to build a proper classifier?. ( I meant the format of input and what it information it should contain?)</p>

<p>Note: </p>

<ul>
<li>I don't give negative examples in training file since it is one class.</li>
<li>My input format is <em>arff</em> </li>
<li>Format of training file is a set of <strong>word,yes</strong></li>
<li>Format of test file is a set of <strong>word,?</strong></li>
</ul>

<p><strong>EDIT</strong>
My test file will have <strong>noun phrases</strong>. So my classifier's job is to get the nouns words from candidates in test file.</p>
";;1060350;70512;Has QUIT--Anony-Mousse;5;27739848;"<p>Your data is not formatted appropriately for this problem.</p>

<p>If you put</p>

<pre><code>word,class
</code></pre>

<p>pairs into a SVM, what you are <em>really</em> putting into the SVM are <em>sparse vectors</em> that consist of a single one, corresponding to your word, i.e.</p>

<pre><code>0,0,0,0,0,...,0,0,1,0,0,0,...,0,0,0,0,yes
</code></pre>

<p><strong>Anything a classifier can do on such data is overfit and memorize. On unknown new words, the result will be useless.</strong></p>

<hr>

<p>If you want your classifier to be able to <em>abstract</em> and <em>generalize</em>, then <strong>you need to carefully extract features from your words</strong>.</p>

<p>Possible features would be n-grams. So the word ""example"" could be represented as</p>

<pre><code>exa:1, xam:1, amp:1, mpl:1, ple:1
</code></pre>

<p>Now your classifier/SVM could learn that having the n-gram ""ple"" is typical for nouns.
Results will likely be better if you add ""beginning-of-word"" and ""end-of-word"" symbol,</p>

<pre><code>^ex:1, exa:1, xam:1, amp:1, mpl:1, ple:1, le$:1
</code></pre>

<p>and maybe also use more than one n-gram length, e.g.</p>

<pre><code>^ex:1, ^exa:1, exa:1, exam: 1, xam:1, xamp:1, amp:1, ampl:1, mpl:1, mple1:1, ple:1, ple$.1, le$:1
</code></pre>

<p>but of course, the more you add the larger your data set and search space grows, which again may lead to overfitting.</p>
"
1448255;192;seekme_94;<r><machine-learning><neural-network>;27732566;0;Extreme learning machines in R for discrete attributes;"<p>I'm trying to run the following example of ELM in R on famous Titanic dataset:</p>

<pre><code>library(elmNN)
dataset &lt;- read.csv(training_data)
formula &lt;- as.factor(Survived) ~ Sex + Age + Pclass + Fare + SibSp + Parch + Embarked
elm_fit &lt;- elmtrain(formula, dataset, nhid=10, actfun=""sig"")
testset$PredSurvived &lt;- predict(elm_fit, testset, type=""class"")
</code></pre>

<p>The training method throws me the following error:</p>

<pre><code>Error in ginv(t(H), tol = sqrt(.Machine$double.eps)) %*% t(T) : requires numeric/complex matrix/vector arguments
</code></pre>

<p>As I understand, this is because the algorithm is expecting numeric data, while my attributes are discrete.</p>

<p>My question is that is there a way to apply this algorithm on my data set?</p>
";;4437789;11;ppp;1;27865953;"<p>translate factors to binary representation using model.matrix. For instance, Species in iris can be generated as model.matrix( ~ Species, data=iris)</p>
"
4410616;61;Rohan Pota;<python-2.7><machine-learning>;27733238;-1;What is the error in the following python code snippet?;"<p>I was reading the the chapter on search engines in programming collective intelligence and came across the following code snippet and tried to implement it in IPython.However, I encountered error.Please Help.</p>

<pre><code>def getmatchrows(self,q):
    fieldlist='w0.urlid'
    tablelist=''
    clauselist=''
    wordids=[]

    words=q.split()
    tablenumber=0

    for word in words:
        wordrow=self.con.execute(""select rowid from wordlist where word='%s'"" % word).fetchone()
        if wordrow!=None:
            wordid=wordrow[0]
            wordids.append(wordid)
            if tablenumber&gt;0:
                tablelist+=','
                clauselist+=' and '
                clauselist+='w%d.urlid=w%d.urlid and '&amp;(tablenumber-1,tablenumber)
            fieldlist+=',w%d.location'%tablenumber
            tablelist+='wordlocation w%d'%tablenumber
            clauselist+='w%d.wordid=%d'%(tablenumber,wordid)
            tablenumber+=1
    fullquery=""select %s from %s where %s""%(fieldlist,tablelist,clauselist)
    cur=self.con.execute(fullquery)
    rows=[row for row in cur]
    return row,wordids
</code></pre>

<p>I got the following error:</p>

<pre><code>e.getmatchrows('the')
---------------------------------------------------------------------------
OperationalError                          Traceback (most recent call last)
&lt;ipython-input-4-65d6f760f6c8&gt; in &lt;module&gt;()
----&gt; 1 e.getmatchrows('the')

C:\Users\Blue\Anaconda\searchengine.py in getmatchrows(self, q)
    134                                 tablenumber+=1
    135                 fullquery=""select %s from %s where %s""%(fieldlist,tablelist,clauselist)
--&gt; 136                 cur=self.con.execute(fullquery)
    137                 rows=[row for row in cur]
    138                 return row,wordids

OperationalError: near ""where"": syntax error
</code></pre>
";;2058922;743;Bee Smears;0;27736501;"<p>You have an SQL error.  Start by properly formatting your SQL.  <a href=""http://zetcode.com/db/mysqlpython/"" rel=""nofollow"">Here is a quick tutorial</a>.  And here is the syntax change I would make first.</p>

<pre><code>fullquery=""SELECT %s FROM %s WHERE %s""%(fieldlist,tablelist,clauselist)
</code></pre>

<p>In other words, consider using uppercase on your SQL keywords and rerun it.</p>
"
495815;1370;Wouter;<apache-spark><machine-learning><prediction><apache-spark-mllib><predictionio>;27734329;18;Incremental training of ALS model;"<p>I'm trying to find out if it is possible to have ""incremental training"" on data using MLlib in Apache Spark.</p>

<p>My platform is Prediction IO, and it's basically a wrapper for Spark (MLlib), HBase, ElasticSearch and some other Restful parts.</p>

<p>In my app data ""events"" are inserted in real-time, but to get updated prediction results I need to ""pio train"" and ""pio deploy"". This takes some time and the server goes offline during the redeploy.</p>

<p>I'm trying to figure out if I can do incremental training during the ""predict"" phase, but cannot find an answer.</p>
";;4674497;602;BartÅ‚omiej Twardowski;0;36767722;"<p>For updating Your model near-online (I write near, because face it, the true online update is impossible) by using fold-in technique, e.g.:
<a href=""http://www.ismll.uni-hildesheim.de/pub/pdfs/Rendle2008-Online_Updating_Regularized_Kernel_Matrix_Factorization_Models.pdf"" rel=""nofollow noreferrer"">Online-Updating Regularized Kernel Matrix Factorization Models for Large-Scale Recommender Systems.</a></p>

<p>Ou You can look at code of:</p>

<ul>
<li><a href=""http://www.mymedialite.net"" rel=""nofollow noreferrer"">MyMediaLite</a></li>
<li><a href=""https://github.com/cloudera/oryx"" rel=""nofollow noreferrer"">Oryx</a> - framework build with Lambda Architecture paradigm. And it should have updates with fold-in of new users/items.</li>
</ul>

<p>It's the part of my answer for similar <a href=""https://stackoverflow.com/questions/36723429/how-can-i-handle-new-users-items-in-model-generated-by-spark-als-from-mllib"">question</a> where both problems: near-online training and handling new users/items were mixed.</p>
"
495815;1370;Wouter;<apache-spark><machine-learning><prediction><apache-spark-mllib><predictionio>;27734329;18;Incremental training of ALS model;"<p>I'm trying to find out if it is possible to have ""incremental training"" on data using MLlib in Apache Spark.</p>

<p>My platform is Prediction IO, and it's basically a wrapper for Spark (MLlib), HBase, ElasticSearch and some other Restful parts.</p>

<p>In my app data ""events"" are inserted in real-time, but to get updated prediction results I need to ""pio train"" and ""pio deploy"". This takes some time and the server goes offline during the redeploy.</p>

<p>I'm trying to figure out if I can do incremental training during the ""predict"" phase, but cannot find an answer.</p>
";;2220275;737;Dr VComas;4;36917856;"<p>I imagine you are using spark MLlib's ALS model which is performing matrix factorization. The result of the model are two matrices a user-features matrix and an item-features matrix. </p>

<p>Assuming we are going to receive a stream of data with ratings or transactions for the case of implicit, a real (100%) online update of this model will be to update both matrices for each new rating information coming by triggering a full retrain of the ALS model on the entire data again + the new rating. In this scenario one is limited by the fact that running the entire ALS model is computationally expensive and the incoming stream of data could be frequent, so it would trigger a full retrain too often.</p>

<p>So, knowing this we can look for alternatives, a single rating should not change the matrices much plus we have optimization approaches which are incremental, for example SGD. There is an interesting (still experimental) library written for the case of Explicit Ratings which does incremental updates for each batch of a DStream:</p>

<p><a href=""https://github.com/brkyvz/streaming-matrix-factorization"" rel=""nofollow"">https://github.com/brkyvz/streaming-matrix-factorization</a></p>

<p>The idea of using an incremental approach such as SGD follows the idea of as far as one moves towards the gradient (minimization problem) one guarantees that is moving towards a minimum of the error function. So even if we do an update to the single new rating, only to the user feature matrix for this specific user, and only the item-feature matrix for this specific item rated, and the update is towards the gradient, we guarantee that we move towards the minimum, of course as an approximation, but still towards the minimum. </p>

<p>The other problem comes from spark itself, and the distributed system, ideally the updates should be done sequentially, for each new incoming rating, but spark treats the incoming stream as a batch, which is distributed as an RDD, so the operations done for updating would be done for the entire batch with no guarantee of sequentiality.</p>

<p>In more details if you are using Prediction.IO for example, you could do an off line training which uses the regular train and deploy functions built in, but if you want to have the online updates you will have to access both matrices for each batch of the stream, and run updates using SGD, then ask for the new model to be deployed, this functionality of course is not in Prediction.IO you would have to build it on your own. </p>

<p>Interesting notes for SGD updates:   </p>

<p><a href=""http://stanford.edu/~rezab/classes/cme323/S15/notes/lec14.pdf"" rel=""nofollow"">http://stanford.edu/~rezab/classes/cme323/S15/notes/lec14.pdf</a>   </p>
"
